app;dtwc;dwl;ids;isqlq;idfap;igs;lt;mim;sl;
a2dp.Vol_results;47;0;0;0;0;43;16;99;31;
aarddict.android_results;7;0;0;0;0;0;9;9;0;
caldwell.ben.bites_results;9;0;0;0;2;0;0;26;10;
ch.blinkenlights.battery_results;0;0;0;0;0;0;0;50;24;
com.addi_results;31;0;0;0;0;2;29;54;46;
com.android.lolcat_results;0;0;0;0;0;0;0;0;0;
com.android.spritemethodtest_results;0;0;0;0;0;0;0;0;0;
com.angrydoughnuts.android.alarmclock_results;0;5;0;0;0;0;79;210;43;
com.beust.android.translate_results;0;0;0;0;0;0;0;0;0;
com.bwx.bequick_results;0;0;0;0;0;0;0;0;0;
com.chmod0.manpages_results;10;0;0;0;0;0;0;19;5;
com.eleybourn.bookcatalogue_results;100;3;0;0;0;0;103;231;26;
com.evancharlton.mileage_results;0;0;10;0;0;0;24;145;28;
com.everysoft.autoanswer_results;0;0;0;0;0;0;0;1;0;
com.example.amazed_results;0;0;0;0;0;0;0;0;0;
com.example.android.musicplayer_results;0;34;0;0;0;0;0;45;0;
com.example.anycut_results;0;0;0;0;0;0;0;0;0;
com.fsck.k9_results;23;13;6;0;0;2;59;107;40;
com.google.android.divideandconquer_results;0;0;0;0;0;0;0;0;0;
com.google.android.opengles.spritetext_results;0;0;0;0;0;0;0;0;0;
com.google.android.opengles.triangle_results;0;0;0;0;0;0;0;0;0;
com.google.android.photostream_results;0;0;0;0;0;0;0;0;0;
com.hectorone.multismssender_results;0;0;0;0;0;0;13;32;34;
com.irahul.worldclock_results;0;0;0;0;0;0;0;46;9;
com.kvance.Nectroid_results;6;9;0;0;0;0;73;280;142;
com.morphoss.acal_results;3;3;0;0;0;18;4;75;3;
com.ringdroid_results;75;0;0;0;0;0;0;90;80;
com.smorgasbork.hotdeath_results;0;0;30;0;0;0;101;171;132;
com.teleca.jamendo_results;15;0;0;0;0;0;13;75;42;
com.templaro.opsiz.aka_results;23;0;0;0;0;0;23;42;37;
com.tum.yahtzee_results;0;0;0;0;0;0;0;0;0;
com.zoffcc.applications.aagtl_results;23;16;0;0;0;0;0;53;56;
cri.sanity_results;44;1;22;0;0;24;75;122;68;
de.freewarepoint.whohasmystuff_results;2;0;0;0;0;0;0;24;0;
de.homac.Mirrored_results;0;0;0;0;0;11;0;14;0;
edu.killerud.fileexplorer_results;1;0;0;0;0;0;0;1;1;
es.senselesssolutions.gpl.weightchart_results;4;0;0;0;0;0;4;95;6;
hiof.enigma.android.soundboard_results;0;0;0;0;0;0;0;0;0;
i4nc4mp.myLock_results;0;12;0;0;0;0;13;24;0;
in.shick.lockpatterngenerator_results;0;0;0;0;0;0;18;19;24;
info.bpace.munchlife_results;0;17;0;0;0;0;0;24;0;
jp.gr.java_conf.hatalab.mnv_results;0;0;0;0;0;0;0;0;0;
jp.sblo.pandora.aGrep_results;33;0;0;0;0;0;0;76;22;
net.everythingandroid.timer_results;0;0;0;0;0;0;0;0;0;
net.fercanet.LNM_results;0;0;0;0;0;0;0;29;26;
net.jaqpot.netcounter_results;4;9;0;0;0;0;25;56;44;
net.mandaria.tippytipper_results;0;0;0;0;0;0;0;26;0;
net.sf.andbatdog.batterydog_results;0;0;0;0;0;0;0;0;0;
org.beide.bomber_results;0;0;0;0;0;0;7;7;7;
org.dnaq.dialer2_results;0;0;0;0;0;0;47;48;45;
org.jfedor.frozenbubble_results;0;0;0;0;0;0;60;120;105;
org.jtb.alogcat_results;22;0;0;0;0;0;0;32;0;
org.liberty.android.fantastischmemo_results;26;0;0;0;0;0;23;76;20;
org.passwordmaker.android_results;3;0;0;0;0;30;0;166;6;
org.scoutant.blokish_results;0;0;0;0;0;0;2;46;39;
org.smerty.zooborns_results;15;0;0;0;1;1;0;20;1;
org.tomdroid_results;8;0;0;0;0;33;6;94;56;
org.totschnig.myexpenses_results;0;0;0;0;0;14;0;50;0;
org.waxworlds.edam.importcontacts_results;30;0;0;0;0;0;0;37;30;
org.wikipedia_results;0;0;0;0;0;0;2;4;0;
org.wordpress.android_results;0;0;0;0;0;0;0;34;0;
overall;564;122;68;0;3;178;828;3104;1288;6155